RFID,nom,prenom,courriel,tel,adresse_postale,dateDeNaissance,idGrade,idRang,idDignite,idTitre,idGroupe
5688696591,Leclercq,Thierry,leclercq_thierry@live.com,3572938343,17831,1978-03-10,5,,,1.0,9596329928
3590475194,Legrand,Odette,legrand_odette@sfr.fr,9598338893,35030,1951-07-12,1,,,,3038314745
1580513303,Guérin,Agnès,guérin_agnès@dbmail.com,2714683642,23073,1986-05-04,1,,,,7935233743
3114512677,Thibault,Laure,thibault_laure@dbmail.com,8213634718,43944,1967-10-13,1,,,,9252043601
4396901084,Baudry,Madeleine,baudry_madeleine@dbmail.com,2956967319,68718,1942-01-04,6,2.0,,3.0,3392728242
2501939899,Nicolas,Sabine,nicolas_sabine@hotmail.fr,7187285098,30180,1955-01-10,1,,,,2829168963
6695299326,Leclerc,Claire,leclerc_claire@voila.fr,9720365745,15133,1981-10-04,1,,,,8894037471
5244602302,Collin,Laurence,collin_laurence@orange.fr,7304644132,54601,1986-09-12,2,,,,2945965350
7758831064,Descamps,William,descamps_william@gmail.com,9760037968,39950,2007-03-11,7,1.0,1.0,3.0,3487627735
8297734787,David,Monique,david_monique@laposte.net,7753721707,75147,1999-03-15,1,,,,5366105887
7432097570,Renault,Raymond,renault_raymond@live.com,4470127291,14438,1968-04-21,1,,,,6723047732
1314225116,Lemoine,Adrienne,lemoine_adrienne@orange.fr,8594823980,34422,1994-10-07,1,,,,2369643785
7946128312,Chrétien,Gérard,chrétien_gérard@ifrance.com,2446319053,80907,1946-08-20,5,2.0,1.0,,4526121248
9812290758,Dupuy,Aurore,dupuy_aurore@ifrance.com,4713851423,91656,1999-07-25,1,,,,4131911466
8863006062,Pascal,Élisabeth,pascal_élisabeth@ifrance.com,3868013934,39465,1968-09-08,1,,,,5735019659
9801104894,Garnier,Alphonse,garnier_alphonse@sfr.fr,9089824443,41072,1958-12-04,1,,,,1083144912
8696114700,Dubois,Eugène,dubois_eugène@voila.fr,8130956811,83873,2008-01-16,5,2.0,2.0,3.0,9252043601
4847572614,Coulon,Frédérique,coulon_frédérique@gmail.com,7246903664,61455,1960-04-20,1,,2.0,,8970764836
7906516214,Thibault,Maurice,thibault_maurice@laposte.net,2509092245,92670,2005-09-25,5,1.0,1.0,2.0,3794479229
4620436560,Boucher,Martin,boucher_martin@wanadoo.fr,9889662807,54318,1941-07-24,1,,3.0,,1231672681
3090617638,Renard,Joséphine,renard_joséphine@club-internet.fr,3001252667,41561,1948-08-15,2,,,,3706917257
6391481933,Lacroix,Danielle,lacroix_danielle@noos.fr,8643765671,95763,1935-07-10,7,,2.0,1.0,3706917257
1816296248,Jacquet,Marie,jacquet_marie@hotmail.fr,7039245734,51603,1980-09-09,4,1.0,,,2369643785
7506807929,Dubois,Noémi,dubois_noémi@wanadoo.fr,9761553421,25611,1950-06-06,6,1.0,,2.0,3498683433
4042384350,Marty,Marc,marty_marc@orange.fr,8455628031,43393,1937-08-18,2,,,,3487627735
3141532217,Charpentier,Luce,charpentier_luce@free.fr,3447710629,35214,1987-08-04,1,,,,8030289257
6114833619,Barthelemy,André,barthelemy_andré@sfr.fr,0040842351,95726,1940-11-22,1,,,,8030289257
9305018781,Garnier,Alain,garnier_alain@laposte.net,9374839594,45262,1976-03-11,7,2.0,2.0,2.0,7738358497
1988623762,Normand,Emmanuelle,normand_emmanuelle@club-internet.fr,0986627146,77645,1938-02-28,1,,3.0,,8054020172
9198179138,Sauvage,Marie,sauvage_marie@tiscali.fr,1385938004,13806,1990-04-09,1,,,3.0,8283391142
8820924998,Roux,Sébastien,roux_sébastien@tiscali.fr,8573384416,55285,1955-02-10,2,1.0,,,4261260447
7990687355,Briand,Renée,briand_renée@club-internet.fr,3301935656,79340,1941-01-27,1,,,,7935233743
3885960810,Baudry,Nathalie,baudry_nathalie@live.com,8076516967,42790,1958-06-12,7,1.0,1.0,,9483825704
1531561567,Robin,Marguerite,robin_marguerite@voila.fr,2688466199,74583,1985-04-02,1,,,,5664845352
4583577380,Delahaye,Aurore,delahaye_aurore@noos.fr,8954078320,78841,1966-08-15,1,2.0,,,3706917257
9044333483,Brunel,Aimée,brunel_aimée@dbmail.com,0152601936,55039,1992-06-30,7,2.0,1.0,2.0,4437557565
8161291977,Rivière,Valentine,rivière_valentine@wanadoo.fr,4238793290,59118,2006-05-16,5,1.0,2.0,,5480431818
3074065433,Gros,Matthieu,gros_matthieu@free.fr,3309166592,74448,1944-01-05,1,,,,9049066537
2921051285,Fleury,Auguste,fleury_auguste@club-internet.fr,3131076647,85325,1967-12-13,1,,,,7935233743
5180117640,Le Roux,Adélaïde,le roux_adélaïde@orange.fr,6134785749,55468,1963-06-02,1,,2.0,,4261260447
6213226495,Nicolas,Stéphanie,nicolas_stéphanie@free.fr,4200566570,92981,1999-06-16,4,2.0,2.0,2.0,3794479229
6620955158,Lacombe,Susanne,lacombe_susanne@hotmail.fr,4762008366,28495,1949-06-05,1,,,2.0,3487627735
9979151815,Laine,Adrien,laine_adrien@sfr.fr,1543806114,24457,1973-05-19,2,,,,5735019659
8469617354,Rey,Zacharie,rey_zacharie@tele2.fr,1540028103,75317,1944-08-07,3,,,,7919556033
6932723605,Rivière,Édith,rivière_édith@club-internet.fr,2243648616,19813,1991-04-27,1,1.0,,,4215140589
3914308172,Boyer,Marianne,boyer_marianne@yahoo.fr,7723760574,49086,1981-06-17,7,1.0,,,6050453215
6693975694,Collet,Gilbert,collet_gilbert@free.fr,3761528070,89183,1939-07-02,7,2.0,2.0,2.0,5877273185
2532816627,Rodrigues,Colette,rodrigues_colette@tele2.fr,5147899954,43014,1950-05-28,1,,,,1231672681
4022674925,Masse,Thibaut,masse_thibaut@dbmail.com,3576114839,68262,1982-07-22,1,,,,5735019659
8779250371,Bertin,Susan,bertin_susan@wanadoo.fr,6447862792,74117,1988-05-11,2,,,,5735019659
7732103934,Maury,Dominique,maury_dominique@gmail.com,5897420882,22649,1973-12-20,4,,,3.0,3794479229
4922338688,Guillon,Julien,guillon_julien@bouygtel.fr,6404775657,61716,1973-01-31,1,,,3.0,3462875358
7676145762,Chauveau,Adrien,chauveau_adrien@yahoo.fr,2289229441,45937,1987-09-02,3,,,,6774919538
4120926541,Godard,Chantal,godard_chantal@ifrance.com,7934964362,79712,1961-09-18,1,,,,3030842343
3861695975,Chevalier,Thérèse,chevalier_thérèse@wanadoo.fr,8465469811,28666,1945-06-26,1,,,,6723047732
7375235506,Pons,Alice,pons_alice@club-internet.fr,7791545068,29877,1972-04-16,1,,,,8965668535
2167733694,Guillon,Tristan,guillon_tristan@ifrance.com,2946014077,13036,1948-12-29,1,,,1.0,6050453215
6180258214,Camus,Olivier,camus_olivier@gmail.com,6963333655,16171,1945-08-21,4,1.0,2.0,,8968339833
6371851587,Peron,Joseph,peron_joseph@sfr.fr,1237719953,44710,1996-05-15,1,,,,2447515723
3723073484,Pasquier,Martin,pasquier_martin@sfr.fr,6387180267,97914,2001-10-30,2,1.0,,,3462875358
8210575097,Perez,Bernard,perez_bernard@yahoo.fr,4755528465,87384,1977-01-15,1,2.0,,,6793816076
2825382371,Mace,René,mace_rené@gmail.com,9306106946,28105,1955-03-23,1,,,,2548185245
5679052407,Perret,Thomas,perret_thomas@dbmail.com,6495562259,74368,1986-03-14,7,2.0,1.0,2.0,5480431818
5244702059,Lemonnier,Denise,lemonnier_denise@ifrance.com,4498270510,76322,1963-05-11,7,2.0,2.0,,6050453215
7965035269,Maillet,Patricia,maillet_patricia@ifrance.com,9332763533,55829,1971-03-02,1,,,,2369643785
6919434621,Leduc,Édith,leduc_édith@voila.fr,2276621420,21482,1986-02-15,1,,,,7713134262
2857076252,Chauvet,Françoise,chauvet_françoise@ifrance.com,6491616132,74255,1956-09-01,2,,3.0,,9049066537
1473795074,Carpentier,Gabriel,carpentier_gabriel@orange.fr,8092241395,77309,2004-05-10,3,,,,4437557565
